publisher,database,ID
ProQuest,Ancestry,SubDB_148
Bloomsbury,Drama Online,SubDB_170
Bookery,Mango Languages,SubDB_214
Bookery,Road to IELTS - Academic,SubDB_238
Bookery,Road to IELTS - General,SubDB_239
Bridget Williams Books,BWB Texts Collection,SubDB_161
Bridget Williams Books,The Treaty of Waitangi Collection,SubDB_255
Brightsolid,British Newspaper Archive,SubDB_155
Brightsolid,Find my past,SubDB_179
Digitales,Beamafilm,SubDB_151
Forward Learning,Activity corner (World Book),SubDB_147
Digitales,Carter's price guide to antiques,SubDB_162
Digitales,Discovery - National Archives,SubDB_168
Digitales,TumbleBookCloud,SubDB_258
Digitales,TumbleBookCloud Junior,SubDB_259
Digitales,TumbleBooks,SubDB_260
Dragon Source,Dragonsource,SubDB_169
Gale Cengage,19th century British Library Newspapers,SubDB_143
EBSCO,MyHeritage,SubDB_218
Forward Learning,Early World of Learning (World Book),SubDB_171
Forward Learning,Enciclopedia Estudiantil Hallazgos,SubDB_172
Forward Learning,World Book Advanced,SubDB_262
Gale Cengage,British Newspapers 1600-1900,SubDB_156
Forward Learning,World Book Discover,SubDB_263
Forward Learning,World Book Kids,SubDB_264
Forward Learning,World Book Student,SubDB_265
Forward Learning,World Book Timelines,SubDB_266
Gale Cengage,Burney Newspapers Collection,SubDB_157
Gale Cengage,Gale In Context: Biography,SubDB_185
Gale Cengage,British Library Newspapers,SubDB_154
Gale Cengage,Discovering Collection,SubDB_167
Gale Cengage,Business & Industry,SubDB_158
Gale Cengage,Business and Management Practices,SubDB_159
Gale Cengage,Business Insights: Global,SubDB_160
Gale Cengage,Daily Mail Historical Archive 1896-2004,SubDB_165
Gale Cengage,Gale Academic OneFile,SubDB_180
Gale Cengage,Gale Academic OneFile Select,SubDB_181
Gale Cengage,Gale Books and Authors,SubDB_182
Gale Cengage,Gale General OneFile,SubDB_183
Gale Cengage,Gale Health and Wellness,SubDB_184
Gale Cengage,Gale In Context: Global Issues,SubDB_186
Gale Cengage,Gale In Context: High School,SubDB_187
Gale Cengage,Gale In Context: Middle School,SubDB_188
Gale Cengage,Gale In Context: Opposing Viewpoints,SubDB_189
Gale Cengage,Gale In Context: Science,SubDB_190
Gale Cengage,Gale In Context: World History,SubDB_191
Gale Cengage,Gale Literature Resource Center,SubDB_192
Gale Cengage,Gale OneFile: Agriculture,SubDB_193
Gale Cengage,Gale OneFile: Business,SubDB_194
Gale Cengage,Gale OneFile: Communications and Mass Media,SubDB_195
Gale Cengage,Gale OneFile: Computer Science,SubDB_196
Gale Cengage,Gale OneFile: Contemporary Women's Issues,SubDB_197
Gale Cengage,Gale OneFile: Economics and Theory,SubDB_198
Gale Cengage,Gale OneFile: Environmental Studies and Policy,SubDB_199
Gale Cengage,Gale OneFile: Fine Arts,SubDB_200
Gale Cengage,Gale Virtual Reference Library,SubDB_201
Gale Cengage,Children's Literature Review,SubDB_163
Gale Cengage,National Geographic Archive 1888-1994,SubDB_219
Gale Cengage,National Geographic Archive 1995+,SubDB_220
Gale Cengage,National Geographic Archive: People Animals World,SubDB_221
Oxford University Press,Berg Fashion Library,SubDB_152
Gale Cengage,19th Century U.S. Newspapers,SubDB_144
Gale Cengage,Picture Post Historical Archive,SubDB_234
Oxford University Press,Oxford Dictionaries,SubDB_231
Gale Cengage,RDS Business Reference Suite,SubDB_237
Oxford University Press,Oxford Dictionary of National Biography,SubDB_232
Gale Cengage,The Sunday Times Digital Archive,SubDB_251
Gale Cengage,TableBase,SubDB_243
ProQuest,Entertainment Industry Magazine Archive,SubDB_177
Gale Cengage,"Illustrated London news historical archive, 1842-2003",SubDB_209
Gale Cengage,"The Independent digital archive, 1986-2012",SubDB_246
Gale Cengage,"The Telegraph Historical Archive, 1855-2000",SubDB_252
Gale Cengage,The Times Digital Archive,SubDB_253
Gale Cengage,"TLS, The Times Literary Supplement",SubDB_257
The Genealogist,The Genealogist,SubDB_244
Generosity NZ,GivME (formerly BreakOut),SubDB_202
Generosity NZ,GivUS (formerly FundView),SubDB_203
Goodreading,Good Reading Online,SubDB_204
Infobase,World Almanac for Kids,SubDB_261
Infobase,World Geography & Culture Online,SubDB_267
Britannica,Encylopedia Britannica Homepage,SubDB_173
Britannica,Encylopedia Britannica Reference/Adults,SubDB_175
Britannica,Encylopedia Britannica Student,SubDB_176
Britannica,Encylopedia Britannica Junior,SubDB_174
Knowledge Basket,Maori Land Court Minute Books Index,SubDB_215
Knowledge Basket,New Zealand Index,SubDB_226
Knowledge Basket,Newztext,SubDB_227
Kowhai Media,New Zealand Geographic TV,SubDB_225
NZX,NZX Company Research,SubDB_229
Knowledge Basket,Niustext(now PINI),SubDB_228
ProQuest,CultureGrams Online,SubDB_164
OECD,OECD iLibrary,SubDB_230
Magpies Magazine,The Source,SubDB_250
Rosen,Digital Literacy,SubDB_166
SAI Global,Standards Australia,SubDB_241
