Database,Vendor
"Ethnographic Video Online, Volume 3",Alexander St
LGBT Thought and Culture,Alexander St
Music and Performing Arts Channel,Alexander St
Ancestry,Ancestry
Road to IELTS - Academic,Bookery
Road to IELTS - General,Bookery
BWB Texts Collection,Bridget Williams Books
Treaty of Waitangi Collection,Bridget Williams Books
British Newspaper Archive,Brightsolid
Findmypast.co.uk,Brightsolid
Beamafilm,Digitales
Carters,DigitalES
Discovery,Digitales
TumbleBookCloud Junior,DigitalES
TumbleBooks,DigitalES
Dragonsource,Dragon Source
Academic Search Complete,EBSCO
Australia/New Zealand Reference Centre,EBSCO
GreenFILE,EBSCO
Hospitality & Tourism Complete,EBSCO
"Library, Information Science & Technology Abstracts",EBSCO
MasterFILE Premier,EBSCO
MyHeritage,EBSCO
Activity Corner,Forward Learning
Early World of Learning,Forward Learning
Enciclopedia Estudiantl Hallazgos,Forward Learning
World Book Advanced,Forward Learning
World Book Discover,Forward Learning
World Book Kids,Forward Learning
World Book Student,Forward Learning
World Book Timelines,Forward Learning
Burney Newspapers Collection,Gale
Gale In Context: Biography,Gale
British Library Newspapers,Gale
Business & Industry,Gale
Business Insights: Global,Gale
"Daily Mail Historical Archive, 1896-2004",Gale
Gale Academic OneFile,Gale
Gale Academic OneFile Select,Gale
Gale Books and Authors,Gale
Gale General OneFile,Gale
Gale Health and Wellness,Gale
Gale In Context: Global Issues,Gale
Gale In Context: High School,Gale
Gale In Context: Middle School,Gale
Gale In Context: Opposing Viewpoints,Gale
Gale In Context: Science,Gale
Gale In Context: World History,Gale
Gale Literature Resource Center,Gale
Gale OneFile: Agriculture,Gale
Gale OneFile: Business,Gale
Gale OneFile: Communications and Mass,Gale
Gale OneFile: Computer Science,Gale
Gale OneFile: Contemporary Women's Issues,Gale
Gale OneFile: Economics and Theory,Gale
Gale OneFile: Environmental Studies,Gale
Gale OneFile: Fine Arts,Gale
Gale Virtual Reference Library,Gale
LCO-Children's Literature Review,Gale
National Geographic Archive 1888-1994,Gale
National Geographic Archive 1995+,Gale
National Geographic:People Animals World,Gale
Nineteenth Century U.S. Newspapers,Gale
Picture Post Historical Archive,Gale
The Sunday Times Historical Archive,Gale
The Illustrated London News,Gale
"The Independent, 1986-2012",Gale
The Telegraph Historical Archive,Gale
The Times Digital Archive,Gale
The Times Literary Supplement Hist Arc,Gale
The Genealogist.co.uk,Genealogy supplies
Good Reading Online (includes SpineOut & PK Mag),Goodreading
JSTOR,JSTOR
Knowledge Basket - Maori Land Court Minute Books Index,Knowledge Basket
Knowledge Basket - New Zealand Index,Knowledge Basket
Knowledge Basket - Newztext,Knowledge Basket
New Zealand Geographic TV,Kowhai Media
Lynda.com,Lynda.com
PressReader,Newspaper Direct
NZX,NZX
Grove Art Online,Oxford
Grove Music Online,Oxford
Oxford English Dictionary,Oxford
ABI/INFORM Global,ProQuest
Australia & New Zealand Newsstream,ProQuest
CultureGrams,ProQuest
ProQuest Research Library,ProQuest
ProQuest Historical Newspapers: The Guardian and The Observer,ProQuest
ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times,ProQuest
ProQuest Historical Newspapers: The New York Times,ProQuest
ProQuest Historical Newspapers: The Scotsman,ProQuest
ProQuest Historical Newspapers: The Times of India,ProQuest
The Vogue Archive,ProQuest
Standards Online New Zealand,Standards NZ
Naxos Music Library,Triton AV
Naxos Music Library - Jazz,Triton AV
