database_original,database_amended,master_list?
17th and 18th Century Burney Collection,Burney Newspapers Collection,0
19th century British Library Newspapers,19th century British Library Newspapers,0
ABI/INFORM Global,ABI/INFORM Global,1
Academic Search Complete,Academic Search Complete,1
Academic World Book,Activity corner (World Book),1
Activity Corner,Activity corner (World Book),1
Ancestry,Ancestry,1
Ancestry Library,Ancestry,1
Australia & New Zealand Newsstream,Australia & New Zealand Newsstream,1
Australia/New Zealand Reference Centre,Australia/New Zealand Reference Centre,1
Beamafilm,Beamafilm,0
Berg Fashion Library,Berg Fashion Library,0
Biography in Context,Gale In Context: Biography,1
BookFlix,BookFlix,0
British Library Newspapers,British Library Newspapers,0
British Newspaper Archive,British Newspaper Archive,1
British Newspapers 1600-1900,British Newspapers 1600-1900,0
Burney Newspapers Collection,Burney Newspapers Collection,0
Business & Industry,Business & Industry,0
Business and Management Practices,Business and Management Practices,0
Business Insights: Global,Business Insights: Global,1
BWB Texts Collection,BWB Texts Collection,1
Carters,Carter's price guide to antiques,1
CultureGrams,CultureGrams Online,1
Daily Mail Historical Archive 1896-2004,Daily Mail Historical Archive 1896-2004,1
"Daily Mail Historical Archive, 1896-2004",Daily Mail Historical Archive 1896-2004,1
Digital Literacy,Digital Literacy,1
Discovering Collection,Discovering Collection,0
Discovery,Discovery - National Archives,1
Dragonsource,Dragonsource,1
Drama Online,Drama Online,0
Early World of Learning,Early World of Learning (World Book),1
Enciclopedia Estudiantil Hallazgos,Enciclopedia Estudiantil Hallazgos,1
Enciclopedia Estudiantl Hallazgos,Enciclopedia Estudiantil Hallazgos,1
Encylopedia Britannica Homepage,Encylopedia Britannica Homepage,0
Encylopedia Britannica Junior,Encylopedia Britannica Junior,0
Encylopedia Britannica Reference/Adults,Encylopedia Britannica Reference/Adults,0
Encylopedia Britannica Student,Encylopedia Britannica Student,0
Entertainment Industry Magazine Archive,Entertainment Industry Magazine Archive,0
"Ethnographic Video Online, Volume 3",Ethnographic Video Online: Indigenous voices,0
Findmypast.co.uk,Find my past,1
Gale Academic OneFile,Gale Academic OneFile,1
Gale Academic OneFile Select,Gale Academic OneFile Select,1
Gale Books and Authors,Gale Books and Authors,1
Gale General OneFile,Gale General OneFile,1
Gale Health and Wellness,Gale Health and Wellness,1
Gale In Context: Biography,Gale In Context: Biography,1
Gale In Context: Global Issues,Gale In Context: Global Issues,1
Gale In Context: High School,Gale In Context: High School,1
Gale In Context: Middle School,Gale In Context: Middle School,1
Gale In Context: Opposing Viewpoints,Gale In Context: Opposing Viewpoints,1
Gale In Context: Science,Gale In Context: Science,1
Gale In Context: World History,Gale In Context: World History,1
